"","GroupNumber","unique_ID","dif_blue","dif_blue_abs","chosen_leader","Leader_gender","Follower_gender","skill_dif","skill_dif_c","leader_behaviour","Sensitivity_roll","Gender","answer","Trial","Subject"
"628",13,"13_9bf9f38d",-2,2,"Left_lead",1,0,1.02937455242993,0.0293745524299291,"1",0.2090926366119,"Female",0,92,"9bf9f38d"
"630",13,"13_9bf9f38d",-4,4,"Left_lead",1,0,1.11579227514835,0.115792275148345,"0",0.219388361363035,"Female",0,94,"9bf9f38d"
"631",13,"13_9bf9f38d",-4,4,"Left_lead",1,0,1.1814262067579,0.181426206757898,"1",0.239918141660205,"Female",0,95,"9bf9f38d"
"637",14,"14_d89b31da",-2,2,"Left_lead",0,1,0.805689567549761,-0.194310432450239,"0",0.0849415158552875,"Male",0,10,"d89b31da"
"645",14,"14_d89b31da",2,2,"Left_lead",0,1,1.04910837403182,0.0491083740318226,"0",0.241937081185825,"Male",0,107,"d89b31da"
"654",14,"14_d89b31da",4,4,"Left_lead",0,1,1.71872414253693,0.718724142536925,"0",0.20070067266905,"Male",0,115,"d89b31da"
"662",14,"14_d89b31da",-4,4,"Left_lead",0,1,0.950974388220156,-0.0490256117798435,"1",0.21366480535964,"Male",0,122,"d89b31da"
"669",14,"14_d89b31da",-1,1,"Left_lead",0,1,0.939934566016389,-0.0600654339836109,"1",0.13889924879398,"Male",0,14,"d89b31da"
"671",14,"14_d89b31da",-1,1,"Left_lead",0,1,1.48761360155535,0.48761360155535,"0",0.171702786773935,"Male",0,16,"d89b31da"
"679",14,"14_d89b31da",1,1,"Left_lead",0,1,1.73832770218103,0.738327702181026,"0",0.173729363434185,"Male",0,23,"d89b31da"
"681",14,"14_d89b31da",-4,4,"Left_lead",0,1,1.22550108247419,0.225501082474189,"0",0.143142807600017,"Male",1,25,"d89b31da"
"689",14,"14_d89b31da",-3,3,"Left_lead",0,1,1.03850362323772,0.0385036232377167,"0",0.133535190870543,"Male",0,32,"d89b31da"
"690",14,"14_d89b31da",3,3,"Left_lead",0,1,1.00346215522033,0.00346215522032534,"0",0.151941762780158,"Male",0,33,"d89b31da"
"698",14,"14_d89b31da",-2,2,"Left_lead",0,1,1.18735482486211,0.187354824862112,"0",0.189958238355182,"Male",0,40,"d89b31da"
"706",14,"14_d89b31da",3,3,"Left_lead",0,1,1.03620133901014,0.0362013390101394,"1",0.153714387649365,"Male",0,48,"d89b31da"
"713",14,"14_d89b31da",4,4,"Left_lead",0,1,1.27498873951268,0.274988739512677,"0",0.160328099944519,"Male",0,54,"d89b31da"
"717",14,"14_d89b31da",-3,3,"Left_lead",0,1,1.97933278346429,0.979332783464287,"1",0.2146953408078,"Male",0,58,"d89b31da"
"723",14,"14_d89b31da",3,3,"Left_lead",0,1,1.38097532298697,0.380975322986969,"1",0.191763972252485,"Male",0,63,"d89b31da"
"731",14,"14_d89b31da",-3,3,"Left_lead",0,1,0.921387823716622,-0.0786121762833782,"1",0.15131837219675,"Male",1,70,"d89b31da"
"732",14,"14_d89b31da",-4,4,"Left_lead",0,1,1.00310953984259,0.00310953984258955,"0",0.175901003219505,"Male",0,71,"d89b31da"
"736",14,"14_d89b31da",-3,3,"Left_lead",0,1,1.04132290596181,0.0413229059618061,"0",0.189099586005206,"Male",0,75,"d89b31da"
"738",14,"14_d89b31da",4,4,"Left_lead",0,1,0.998530290945512,-0.00146970905448829,"1",0.180279406396505,"Male",0,77,"d89b31da"
"740",14,"14_d89b31da",4,4,"Left_lead",0,1,1.01989843015172,0.0198984301517167,"1",0.170707163772521,"Male",0,79,"d89b31da"
"755",14,"14_d89b31da",-1,1,"Left_lead",0,1,0.991211161771662,-0.00878883822833809,"1",0.2074751754615,"Male",1,92,"d89b31da"
"760",14,"14_d89b31da",-1,1,"Left_lead",0,1,0.941699796532999,-0.0583002034670009,"0",0.20841944587303,"Male",1,97,"d89b31da"
"761",14,"14_d89b31da",-4,4,"Left_lead",0,1,0.954092913244776,-0.0459070867552239,"0",0.197448586479017,"Male",0,98,"d89b31da"
"767",15,"15_49c9ee1c",4,4,"Left_lead",0,0,1.29489170435306,0.294891704353057,"0",0.2432506673962,"Male",0,102,"49c9ee1c"
"769",15,"15_49c9ee1c",1,1,"Left_lead",0,0,1.17828895865864,0.178288958658636,"0",0.248529375999441,"Male",1,104,"49c9ee1c"
"772",15,"15_49c9ee1c",-1,1,"Left_lead",0,0,1.09122266159281,0.0912226615928124,"0",0.23738956884077,"Male",0,107,"49c9ee1c"
"773",15,"15_49c9ee1c",-3,3,"Left_lead",0,0,1.02621526744153,0.0262152674415284,"1",0.21977712344621,"Male",1,108,"49c9ee1c"
"775",15,"15_49c9ee1c",4,4,"Left_lead",0,0,0.967007706115819,-0.0329922938841811,"0",0.11175575367489,"Male",0,11,"49c9ee1c"
"784",15,"15_49c9ee1c",-1,1,"Left_lead",0,0,1.01884249638214,0.0188424963821416,"0",0.20640317573922,"Male",1,118,"49c9ee1c"
"785",15,"15_49c9ee1c",-1,1,"Left_lead",0,0,0.984039230365341,-0.0159607696346594,"1",0.20508500736948,"Male",0,119,"49c9ee1c"
"788",15,"15_49c9ee1c",-1,1,"Left_lead",0,0,1.07047555085818,0.0704755508581771,"0",0.216719600264496,"Male",1,121,"49c9ee1c"
"794",15,"15_49c9ee1c",-2,2,"Left_lead",0,0,1.13794803419991,0.137948034199912,"0",0.233442259490255,"Male",1,127,"49c9ee1c"
"799",15,"15_49c9ee1c",4,4,"Left_lead",0,0,1.23036533908761,0.230365339087609,"1",0.16028606786705,"Male",0,17,"49c9ee1c"
"800",15,"15_49c9ee1c",-2,2,"Left_lead",0,0,1.23959646139767,0.23959646139767,"0",0.16544384566928,"Male",0,18,"49c9ee1c"
